sto_id,sto_name,sto_street,sto_city,sto_phone,sto_email,sto_std_sales,sto_url,sto_notes
1,Sharon,Moulton,Charleroi,437,sperez0@icq.com,25,http://narod.ru/auctor/gravida/sem.xml?habitasse=natoque,
2,Jeffrey,Carberry,Dehui,085,jroberts1@nytimes.com,13,https://ted.com/sapien/ut/nunc/vestibulum/ante/ipsum/primis.jsp?tempus=at&sit=velit&amet=vivamus&sem=vel&fusce=nulla&consequat=eget&nulla=eros&nisl=elementum&nunc=pellentesque&nisl=quisque&duis=porta&bibendum=volutpat&felis=erat&sed=quisque&interdum=erat&venenatis=eros&turpis=viverra&enim=eget&blandit=congue&mi=eget&in=semper&porttitor=rutrum&pede=nulla&justo=nunc&eu=purus&massa=phasellus&donec=in&dapibus=felis&duis=donec&at=semper&velit=sapien&eu=a&est=libero&congue=nam&elementum=dui&in=proin&hac=leo&habitasse=odio&platea=porttitor,
3,Antonio,Briar Crest,Lamovita,229,ahill2@google.it,91,https://flavors.me/vitae/ipsum/aliquam/non.json?est=pede&congue=ac&elementum=diam&in=cras,
4,Christina,Barby,Concordia,05039,crice3@stumbleupon.com,60,http://goodreads.com/eros/vestibulum/ac/est/lacinia/nisi/venenatis.png?metus=quis&arcu=turpis&adipiscing=sed&molestie=ante&hendrerit=vivamus&at=tortor&vulputate=duis&vitae=mattis&nisl=egestas&aenean=metus&lectus=aenean&pellentesque=fermentum&eget=donec&nunc=ut&donec=mauris&quis=eget&orci=massa&eget=tempor&orci=convallis&vehicula=nulla&condimentum=neque&curabitur=libero&in=convallis&libero=eget&ut=eleifend&massa=luctus&volutpat=ultricies&convallis=eu&morbi=nibh&odio=quisque&odio=id&elementum=justo&eu=sit&interdum=amet&eu=sapien&tincidunt=dignissim&in=vestibulum&leo=vestibulum&maecenas=ante&pulvinar=ipsum&lobortis=primis&est=in&phasellus=faucibus&sit=orci&amet=luctus&erat=et&nulla=ultrices&tempus=posuere&vivamus=cubilia&in=curae&felis=nulla&eu=dapibus&sapien=dolor&cursus=vel&vestibulum=est&proin=donec&eu=odio&mi=justo&nulla=sollicitudin&ac=ut&enim=suscipit&in=a&tempor=feugiat,
5,Mary,Vahlen,Vouani,4775,mchapman4@fda.gov,95,http://exblog.jp/eu/magna/vulputate/luctus/cum/sociis.xml?lorem=purus&ipsum=phasellus&dolor=in&sit=felis&amet=donec&consectetuer=semper&adipiscing=sapien&elit=a&proin=libero&interdum=nam&mauris=dui&non=proin&ligula=leo&pellentesque=odio&ultrices=porttitor&phasellus=id&id=consequat&sapien=in&in=consequat&sapien=ut&iaculis=nulla&congue=sed&vivamus=accumsan&metus=felis&arcu=ut&adipiscing=at&molestie=dolor&hendrerit=quis&at=odio&vulputate=consequat&vitae=varius&nisl=integer&aenean=ac&lectus=leo&pellentesque=pellentesque&eget=ultrices&nunc=mattis&donec=odio&quis=donec&orci=vitae&eget=nisi&orci=nam&vehicula=ultrices&condimentum=libero&curabitur=non&in=mattis&libero=pulvinar&ut=nulla&massa=pede&volutpat=ullamcorper&convallis=augue&morbi=a&odio=suscipit&odio=nulla&elementum=elit&eu=ac&interdum=nulla&eu=sed&tincidunt=vel&in=enim&leo=sit&maecenas=amet&pulvinar=nunc&lobortis=viverra&est=dapibus,
6,Lisa,Carberry,Xinlong,8330,lhoward5@earthlink.net,61,http://mozilla.org/quisque/id/justo/sit/amet/sapien.html?massa=viverra&quis=pede&augue=ac&luctus=diam&tincidunt=cras&nulla=pellentesque&mollis=volutpat&molestie=dui&lorem=maecenas,
7,Ronald,5th,Verkhnyachka,62685,rtorres6@nsw.gov.au,46,http://oakley.com/congue/risus/semper/porta/volutpat/quam/pede.html?sagittis=condimentum&nam=neque&congue=sapien&risus=placerat&semper=ante&porta=nulla&volutpat=justo&quam=aliquam&pede=quis&lobortis=turpis&ligula=eget&sit=elit&amet=sodales&eleifend=scelerisque&pede=mauris&libero=sit&quis=amet&orci=eros&nullam=suspendisse&molestie=accumsan&nibh=tortor&in=quis&lectus=turpis&pellentesque=sed&at=ante&nulla=vivamus&suspendisse=tortor&potenti=duis&cras=mattis&in=egestas&purus=metus&eu=aenean&magna=fermentum&vulputate=donec&luctus=ut&cum=mauris&sociis=eget&natoque=massa&penatibus=tempor&et=convallis&magnis=nulla&dis=neque&parturient=libero&montes=convallis&nascetur=eget&ridiculus=eleifend&mus=luctus&vivamus=ultricies&vestibulum=eu&sagittis=nibh&sapien=quisque&cum=id&sociis=justo&natoque=sit&penatibus=amet,
8,Linda,Bobwhite,Parthenay,80242,ldixon7@dailymotion.com,80,https://berkeley.edu/id/luctus/nec/molestie/sed/justo.aspx?augue=et&aliquam=eros&erat=vestibulum&volutpat=ac&in=est&congue=lacinia&etiam=nisi&justo=venenatis&etiam=tristique&pretium=fusce&iaculis=congue&justo=diam&in=id&hac=ornare&habitasse=imperdiet&platea=sapien&dictumst=urna&etiam=pretium&faucibus=nisl&cursus=ut&urna=volutpat&ut=sapien&tellus=arcu&nulla=sed&ut=augue&erat=aliquam&id=erat&mauris=volutpat&vulputate=in&elementum=congue&nullam=etiam&varius=justo&nulla=etiam&facilisi=pretium&cras=iaculis&non=justo&velit=in&nec=hac&nisi=habitasse&vulputate=platea&nonummy=dictumst&maecenas=etiam&tincidunt=faucibus&lacus=cursus&at=urna&velit=ut&vivamus=tellus&vel=nulla&nulla=ut&eget=erat&eros=id&elementum=mauris&pellentesque=vulputate&quisque=elementum&porta=nullam&volutpat=varius&erat=nulla&quisque=facilisi&erat=cras&eros=non&viverra=velit&eget=nec&congue=nisi&eget=vulputate&semper=nonummy&rutrum=maecenas&nulla=tincidunt&nunc=lacus&purus=at&phasellus=velit&in=vivamus&felis=vel&donec=nulla&semper=eget&sapien=eros&a=elementum&libero=pellentesque&nam=quisque&dui=porta&proin=volutpat&leo=erat&odio=quisque&porttitor=erat&id=eros&consequat=viverra&in=eget&consequat=congue&ut=eget&nulla=semper&sed=rutrum&accumsan=nulla&felis=nunc&ut=purus&at=phasellus&dolor=in&quis=felis,
9,Donald,Meadow Valley,Wu’erqihan,3,dfowler8@xing.com,80,https://bing.com/neque/aenean/auctor.png?dapibus=quisque&duis=ut&at=erat&velit=curabitur&eu=gravida&est=nisi&congue=at&elementum=nibh&in=in&hac=hac&habitasse=habitasse&platea=platea&dictumst=dictumst&morbi=aliquam&vestibulum=augue&velit=quam&id=sollicitudin&pretium=vitae&iaculis=consectetuer&diam=eget&erat=rutrum&fermentum=at&justo=lorem&nec=integer&condimentum=tincidunt&neque=ante,
10,Craig,Everett,Baz,1783,cfoster9@cargocollective.com,25,http://virginia.edu/justo/sit/amet/sapien.html?cum=dis&sociis=parturient&natoque=montes&penatibus=nascetur&et=ridiculus&magnis=mus&dis=etiam&parturient=vel&montes=augue&nascetur=vestibulum&ridiculus=rutrum&mus=rutrum&etiam=neque&vel=aenean&augue=auctor&vestibulum=gravida&rutrum=sem&rutrum=praesent&neque=id&aenean=massa&auctor=id&gravida=nisl&sem=venenatis&praesent=lacinia&id=aenean&massa=sit&id=amet&nisl=justo&venenatis=morbi&lacinia=ut&aenean=odio&sit=cras&amet=mi&justo=pede&morbi=malesuada&ut=in&odio=imperdiet&cras=et&mi=commodo&pede=vulputate&malesuada=justo&in=in&imperdiet=blandit&et=ultrices&commodo=enim&vulputate=lorem&justo=ipsum&in=dolor&blandit=sit&ultrices=amet&enim=consectetuer&lorem=adipiscing&ipsum=elit&dolor=proin&sit=interdum&amet=mauris&consectetuer=non&adipiscing=ligula&elit=pellentesque&proin=ultrices&interdum=phasellus&mauris=id&non=sapien&ligula=in&pellentesque=sapien&ultrices=iaculis&phasellus=congue&id=vivamus&sapien=metus&in=arcu&sapien=adipiscing&iaculis=molestie&congue=hendrerit&vivamus=at&metus=vulputate&arcu=vitae&adipiscing=nisl&molestie=aenean&hendrerit=lectus&at=pellentesque&vulputate=eget&vitae=nunc&nisl=donec&aenean=quis&lectus=orci&pellentesque=eget&eget=orci&nunc=vehicula&donec=condimentum&quis=curabitur&orci=in&eget=libero&orci=ut&vehicula=massa&condimentum=volutpat&curabitur=convallis&in=morbi&libero=odio,
